RecordID,CertificateNumber,BusinessName,InspectionDate,InspectionResult,Industry,Borough,BuildingNumber,Street,Street2,UnitType,Unit,Description,City,State,Zip,Longitude,Latitude
68198-2016-ENFO,9348148,"SPICE CORNER DELI, INC.",2016-10-12T00:00:00Z,No Violation Issued,Stoop Line Stand - 033,Manhattan,97,LEXINGTON AVE,NA,NA,NA,NA,NEW YORK,NY,10016,-73.98274672,40.74184166
59521-2016-ENFO,50072720,KING OF HOOKAH STORE PLUS A TO Z CORP.,2016-09-11T00:00:00Z,Closed,Cigarette Retail Dealer - 127,Bronx,2500,ARTHUR AVE,NA,NA,NA,NA,BRONX,NY,10458,-73.88530952,40.85819529
33201-2017-ENFO,5409719,SANTA RITA PIZZA CORP,2017-05-22T00:00:00Z,Violation Issued,Grocery-Retail - 808,Queens,4803,DITMARS BLVD,NA,NA,NA,NA,ASTORIA,NY,11105,-73.90092162,40.76923409
1921-2018-ENFO,9395538,COBBLE HILL DELI & CONVENIENCE CORP,2018-01-03T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,493,HENRY ST,NA,NA,NA,NA,BROOKLYN,NY,11231,-73.99912023,40.68471074
67501-2016-ENFO,50073260,EVERGREEN FARM MARKET INC,2016-10-12T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Queens,466,ONDERDONK AVE,NA,NA,NA,NA,RIDGEWOOD,NY,11385,-73.91226028,40.70695659
7638-2018-ENFO,5420877,224 RAMI DELI CORP,2018-01-30T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Bronx,224,WILLIS AVE,NA,FRNT,1,NA,BRONX,NY,10454,-73.92332467,40.80848164
2134-2016-ENFO,50065325,A & H MINI MARKET CORP,2016-01-07T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,323,RALPH AVE,NA,NA,NA,NA,BROOKLYN,NY,11233,-73.92171538,40.67795119
75029-2017-ENFO,5421656,"WALGREEN EASTERN CO., INC.",2017-12-19T00:00:00Z,Violation Issued,Drug Store Retail - 810,Queens,8011,ELIOT AVE,NA,NA,NA,NA,MIDDLE VILLAGE,NY,11379,-73.87867983,40.72525837
13708-2016-ENFO,3051399,"PARKER FAIRWAY CLEANERS, INC.",2016-06-07T00:00:00Z,Pass,Laundry Jobber - 066,Manhattan,106,E 15TH ST,NA,NA,NA,NA,NEW YORK,NY,10003,-73.98926155,40.73506292
58767-2017-ENFO,3073770,"ALMATHRAHI, KAREEM",2017-09-15T00:00:00Z,Fail,Grocery-Retail - 808,Queens,666,WOODWARD AVE,NA,NA,NA,NA,RIDGEWOOD,NY,11385,-73.90665736,40.70545628
27051-2016-ENFO,3056852,KIRINO ENTERPIRSES INC,2016-04-13T00:00:00Z,Pass,Misc Non-Food Retail - 817,Manhattan,183,CLINTON ST,NA,NA,NA,NA,NEW YORK,NY,10002,-73.98703181,40.71538278
11358-2016-CMPL,5400196,Lush Fresh Handmade Cosmetics,2016-08-08T00:00:00Z,Violation Issued,Air Condtioning Law - 899,Manhattan,2165,BROADWAY,NA,NA,NA,NA,NEW YORK,NY,10024,-73.98099949,40.78197228
58980-2017-ENFO,3069261,"BJ'S WHOLESALE CLUB, INC.",2017-09-15T00:00:00Z,Pass,Megastore - 821,Queens,13107,40TH RD,NA,STE,A100,NA,FLUSHING,NY,11354,-73.83604285,40.75594133
58826-2016-ENFO,5402643,NILKANTH FOOD MART INC,2016-08-30T00:00:00Z,Violation Issued,Grocery-Retail - 808,Queens,15711,LINDEN BLVD,NA,NA,NA,NA,JAMAICA,NY,11434,-73.79021841,40.68780228
10655-2018-ENFO,9405865,"RBCP PET CARE, LLC",2018-02-14T00:00:00Z,No Violation Issued,Misc Non-Food Retail - 817,Manhattan,730,11TH AVE,NA,NA,NA,NA,NEW YORK,NY,10019,-73.99389898,40.76686939
37665-2016-ENFO,9341127,FIVE STARS OF BROOKLYN VIII INC.,2016-06-02T00:00:00Z,No Violation Issued,Electronic Store - 001,Brooklyn,371,MOTHER GASTON BLVD,NA,NA,NA,NA,BROOKLYN,NY,11212,-73.90690894,40.66993639
48538-2016-ENFO,5398442,GT 157 DELI GROCERY INC,2016-07-21T00:00:00Z,Violation Issued,Grocery-Retail - 808,Manhattan,500,W 157TH ST,NA,NA,NA,NA,NEW YORK,NY,10032,-73.94245241,40.83303056
3173-UNIT,10006598,NA,2016-04-28T00:00:00Z,Pass,Tow Truck Company - 124,Queens,18510,MERRICK BLVD,NA,NA,NA,NA,SPRINGFIELD GARDENS,NY,11413,-73.75692685,40.67966162
226-2014-UNIT,10000846,GO NEWYORK TOURS INC,2016-08-03T00:00:00Z,Pass,Sightseeing Bus - 078,Manhattan,2,E 42ND ST,NA,NA,NA,NA,NEW YORK,NY,10017,-73.98065393,40.75337202
66953-2016-ENFO,9357957,"PAN, JIAN",2016-10-07T00:00:00Z,No Violation Issued,Laundry - 064,Brooklyn,6805,20TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11204,-73.98774653,40.61469617
69466-2017-ENFO,3076671,109 AJ DELI GROCERY CORP,2017-11-13T00:00:00Z,Pass,Grocery-Retail - 808,Bronx,109,E TREMONT AVE,NA,NA,NA,NA,BRONX,NY,10453,-73.9073717,40.85067267
44017-2018-ENFO,9435700,FANTA HAIR BRAIDING,2018-08-27T00:00:00Z,Out of Business,Salons And Barbershop - 841,Manhattan,2041,ADAM CLAYTON POWELL JR BLVD,NA,NA,NA,NA,NEW YORK,NY,10027,-73.94965959,40.80712927
9729-2017-ENFO,9362170,"COMPUTER SYSTEMS PROVIDER, INC",2017-02-06T00:00:00Z,Closed,Electronic Store - 001,Manhattan,2128,2ND AVE,NA,NA,NA,NA,NEW YORK,NY,10029,-73.94084398,40.79278937
33269-2018-ENFO,9417059,BRONX JUNK CAR DEPOT LLC,2018-06-25T00:00:00Z,No Evidence of Activity,Secondhand Dealer Auto - 005,Bronx,1313,VIELE AVE,NA,NA,NA,NA,BRONX,NY,10474,-73.88391323,40.80692537
7466-2018-ENFO,9400723,EMILIANO ZAPATA,2018-01-19T00:00:00Z,No Violation Issued,Misc Non-Food Retail - 817,Bronx,443,E 180TH ST,NA,NA,NA,NA,BRONX,NY,10457,-73.89642853,40.85176399
26645-2016-ENFO,5390619,SLA & MEX DELI GROCERY INC,2016-04-19T00:00:00Z,Violation Issued,Grocery-Retail - 808,Bronx,1988,NEWBOLD AVE,NA,NA,NA,NA,BRONX,NY,10472,-73.8589059,40.83235751
72361-2017-ENFO,50081872,THE LATIN BROTHERS FOOD CORP.,2017-12-02T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,1141,FULTON ST,NA,NA,NA,NA,BROOKLYN,NY,11238,-73.95615067,40.68124398
9008-2018-ENFO,9406280,AEROSOLES,2018-02-07T00:00:00Z,Out of Business,Misc Non-Food Retail - 817,Manhattan,137,E 42ND ST,NA,NA,NA,NA,NEW YORK,NY,10017,-73.97570267,40.75130703
41240-2016-ENFO,3056723,CARPETS BY B & S,2016-06-20T00:00:00Z,Fail,Misc Non-Food Retail - 817,Staten Island,3993,VICTORY BLVD,NA,NA,NA,NA,STATEN ISLAND,NY,10314,-74.1874421,40.59361213
70326-2017-ENFO,5420544,LATNITE CANDY STORE INC,2017-11-22T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Queens,1405,PARSONS BLVD,NA,NA,NA,NA,WHITESTONE,NY,11357,-73.82225925,40.78666751
3812-2016-ENFO,9311440,"SINGH, SUKHWINDER",2016-01-06T00:00:00Z,No Violation Issued,Secondhand Dealer [General] - 006,Queens,11315,101ST AVE,NA,NA,NA,NA,SOUTH RICHMOND HILL,NY,11419,-73.83078885,40.68860194
42839-2017-ENFO,9368572,BRONX NETWORK TRANSMISSION,2017-06-22T00:00:00Z,Out of Business,Misc Non-Food Retail - 817,Bronx,4150,BOSTON RD,NA,NA,NA,NA,BRONX,NY,10475,-73.82633202,40.88657862
35220-2018-ENFO,3082039,AVOCADO DELI CORP,2018-07-12T00:00:00Z,Pass,Grocery-Retail - 808,Bronx,1798,WESTCHESTER AVE,NA,NA,NA,NA,BRONX,NY,10472,-73.86648836,40.83182858
58639-2017-ENFO,50081073,QUISQUEYA GROCERY CORP,2017-09-20T00:00:00Z,No Evidence of Activity,Cigarette Retail Dealer - 127,Brooklyn,830,MACON ST,NA,NA,NA,NA,BROOKLYN,NY,11233,-73.91761501,40.68475262
9122-2016-ENFO,9323217,"WALGREEN EASTERN CO., INC.",2016-02-04T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,755,BROADWAY,NA,NA,NA,NA,BROOKLYN,NY,11206,-73.94174803,40.70063213
69012-2016-ENFO,9358912,"ESCO DRUG CO., INC.",2016-10-25T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Manhattan,687,9TH AVE,NA,NA,NA,NA,NEW YORK,NY,10036,-73.99017774,40.76181606
71701-2016-ENFO,9356993,BELL 41 SPA INC,2016-11-02T00:00:00Z,No Violation Issued,Salons And Barbershop - 841,Queens,21408,41ST AVE,NA,NA,NA,NA,BAYSIDE,NY,11361,-73.77065208,40.76364401
70787-2016-ENFO,3064675,"DOLEH, BASSAM M.",2016-10-28T00:00:00Z,Pass,Grocery-Retail - 808,Brooklyn,510,7TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11215,-73.98641158,40.66120643
24288-2018-ENFO,3083347,BONGRAE FRUIT & VEGETABLE CORP.,2018-05-03T00:00:00Z,Pass,Supermarket - 819,Staten Island,375,TOMPKINS AVE,NA,NA,NA,NA,STATEN ISLAND,NY,10305,-74.07416745,40.61639114
64335-2016-ENFO,3057764,G.H. FOOD INC.,2016-09-30T00:00:00Z,Pass,Supermarket - 819,Brooklyn,750,MANHATTAN AVE,NA,NA,NA,NA,BROOKLYN,NY,11222,-73.95234342,40.72652011
21599-2017-ENFO,9381526,ANYA GROCERY INC.,2017-03-30T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Staten Island,27,GIFFORDS LN,NA,NA,NA,NA,STATEN ISLAND,NY,10308,-74.15045439,40.55153371
43250-2018-ENFO,3083167,"KINGS VALLEY FRUIT, INC.",2018-08-29T00:00:00Z,Pass,Grocery-Retail - 808,Brooklyn,1624,KINGS HWY,NA,NA,NA,NA,BROOKLYN,NY,11229,-73.95710914,40.60925413
5443-UNIT,10022784,NYCCP CORP.,2016-11-02T00:00:00Z,Pass,Pedicab Business - 130,Manhattan,725,11TH AVE,NA,NA,NA,NA,NEW YORK,NY,10019,-73.99399646,40.76676784
23800-2018-ENFO,5421329,V & W AUTO SALES INC.,2018-04-24T00:00:00Z,Violation Issued,Secondhand Dealer Auto - 005,Bronx,1716,WEBSTER AVE,NA,NA,NA,NA,BRONX,NY,10457,-73.90316718,40.84371138
41830-2016-ENFO,9346923,TARGEE FOOD CORP.,2016-06-23T00:00:00Z,Out of Business,Cigarette Retail Dealer - 127,Staten Island,438,TARGEE ST,NA,NA,NA,NA,STATEN ISLAND,NY,10304,-74.08477141,40.616285
4135-UNIT,9415366,"GRAY LINE NEW YORK TOURS, INC.",2018-04-17T00:00:00Z,Pass,Sightseeing Bus - 078,Brooklyn,43,2ND AVE,NA,NA,NA,NA,BROOKLYN,NY,11215,-73.9921482,40.6740635
76137-2016-ENFO,9359780,WKNAPP LTD.,2016-12-01T00:00:00Z,No Violation Issued,Sidewalk Cafe - 013,Manhattan,44,E 92ND ST,NA,FRNT,1,NA,NEW YORK,NY,10128,-73.95573959,40.78453716
5924-2017-ENFO,9361877,W & N GROCERY INC,2017-01-18T00:00:00Z,Out of Business,Cigarette Retail Dealer - 127,Brooklyn,6901,8TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11228,-74.01498356,40.63026156
55235-2017-ENFO,3068772,"BROOKLYN JEWELRY CENTER, INC.",2017-08-30T00:00:00Z,Pass,Secondhand Dealer [General] - 006,Brooklyn,257,BRIGHTON BEACH AVE,NA,STE,A,NA,BROOKLYN,NY,11235,-73.96526553,40.57679689
11510-2018-ENFO,40009188,SPEEDWAY LLC,2018-03-09T00:00:00Z,Fail,Gas Station-Retail - 815,Bronx,3355,E TREMONT AVE,NA,NA,NA,NA,BRONX,NY,10461,-73.82940942,40.83455185
7767-2016-ENFO,9320547,D II OF FIFTH AVENUE LLC,2016-02-05T00:00:00Z,No Violation Issued,Wearing Apparel - 450,Brooklyn,6910,5TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11209,-74.02109107,40.63330732
66076-2016-ENFO,50073144,"THE CARLYLE, LLC",2016-10-05T00:00:00Z,Out of Business,Cigarette Retail Dealer - 127,Manhattan,35,E 76TH ST,NA,NA,NA,NA,NEW YORK,NY,10021,-73.96328509,40.77426626
4132-UNIT,9326868,"GRAY LINE NEW YORK TOURS, INC.",2016-04-21T00:00:00Z,Pass,Sightseeing Bus - 078,Brooklyn,43,2ND AVE,NA,NA,NA,NA,BROOKLYN,NY,11215,-73.9921482,40.6740635
75260-2016-ENFO,9369656,"SUPERIOR CRESCENT DELI, INC.",2016-11-22T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Queens,3455,CRESCENT ST,NA,NA,NA,NA,ASTORIA,NY,11106,-73.93128529,40.76042361
9413-2016-ENFO,9327927,HEUER OPTICAL INC,2016-02-04T00:00:00Z,No Violation Issued,Misc Non-Food Retail - 817,Manhattan,458,3RD AVE,NA,NA,NA,NA,NEW YORK,NY,10016,-73.97931052,40.74411375
3800-2017-ENFO,40003043,GRAND CONCOURSE GAS INC,2017-01-17T00:00:00Z,Fail,Gas Station-Retail - 815,Bronx,611,GRAND CONCOURSE,NA,NA,NA,NA,BRONX,NY,10451,-73.92650856,40.82027778
64758-2017-ENFO,9394223,NY EMPIEX TRADING INC,2017-10-19T00:00:00Z,Out of Business,Cigarette Retail Dealer - 127,Brooklyn,7322,5TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11209,-74.02211705,40.63078466
24134-2018-ENFO,9422820,"AMEEN, ESSA A",2018-05-01T00:00:00Z,Closed,Grocery-Retail - 808,Queens,22020,HEMPSTEAD AVE,NA,NA,NA,NA,QUEENS VILLAGE,NY,11429,-73.73373125,40.71273704
68368-2016-ENFO,9356295,"BELLY'S DETAILING CENTER, LLC",2016-09-09T00:00:00Z,Closed,Misc Non-Food Retail - 817,Queens,10967,SUTPHIN BLVD,NA,NA,NA,NA,JAMAICA,NY,11435,-73.79698631,40.69023257
32563-2017-ENFO,9385523,"GAMESTOP, INC.",2017-05-09T00:00:00Z,No Violation Issued,Electronic Store - 001,Brooklyn,1556,FLATBUSH AVE,NA,NA,NA,NA,BROOKLYN,NY,11210,-73.9479534,40.63312181
35519-2016-ENFO,5395819,AMR FOOD CORP,2016-05-20T00:00:00Z,Violation Issued,Grocery-Retail - 808,Queens,22321,LINDEN BLVD,NA,NA,NA,NA,CAMBRIA HEIGHTS,NY,11411,-73.7372598,40.69424534
11340-2016-ENFO,9329563,JOSE GROCERY CORP.,2016-02-22T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Manhattan,1881,AMSTERDAM AVE,NA,NA,NA,NA,NEW YORK,NY,10032,-73.94384593,40.83035789
6675-2016-ENFO,9286991,YOUR CHOICE DELI GROCERY CORP,2016-01-28T00:00:00Z,No Violation Issued,Stoop Line Stand - 033,Bronx,2663,VALENTINE AVE,NA,NA,NA,NA,BRONX,NY,10458,-73.89301535,40.86581924
6384-UNIT,9398429,"GRAY LINE NEW YORK TOURS, INC.",2017-08-21T00:00:00Z,Pass,Sightseeing Bus - 078,Brooklyn,43,2ND AVE,NA,NA,NA,NA,BROOKLYN,NY,11215,-73.9921482,40.6740635
10888-2017-ENFO,9362419,SLEEP SHOP INC,2017-02-13T00:00:00Z,No Violation Issued,Furniture Sales - 242,Staten Island,1233,CASTLETON AVE,NA,NA,NA,NA,STATEN ISLAND,NY,10310,-74.12355388,40.63404984
75996-2017-ENFO,50080869,1681 GROCERY INC.,2017-12-17T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Bronx,4125,LACONIA AVE,NA,NA,NA,NA,BRONX,NY,10466,-73.846998,40.88778259
2605-2018-ENFO,9413322,"SUTPHIN TRADING DEPOT, INC.",2018-01-09T00:00:00Z,No Violation Issued,Secondhand Dealer [General] - 006,Queens,9035,SUTPHIN BLVD,NA,NA,NA,NA,JAMAICA,NY,11435,-73.80808703,40.70218589
30044-2016-ENFO,3052895,"RHE, SYANG CHAN",2016-05-03T00:00:00Z,Pass,Grocery-Retail - 808,Brooklyn,1119,LIBERTY AVE,NA,NA,NA,NA,BROOKLYN,NY,11208,-73.86815802,40.67855554
10553-2018-ENFO,50082585,THE NEW TITASH SUPERMARKET INC,2018-02-17T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Queens,7108,35TH AVE,NA,NA,NA,NA,JACKSON HEIGHTS,NY,11372,-73.89470883,40.75072899
75752-2016-ENFO,9369681,YRBL CORP,2016-11-29T00:00:00Z,No Violation Issued,Grocery-Retail - 808,Queens,4811,43RD AVE,NA,NA,NA,NA,SUNNYSIDE,NY,11104,-73.91628864,40.74466982
50048-2017-ENFO,9388546,"MORGAN AND BROTHER MANHATTAN STORAGE COMPANY, INC.",2017-08-04T00:00:00Z,No Violation Issued,Storage Warehouse - 120,Manhattan,449,W 49TH ST,NA,NA,NA,NA,NEW YORK,NY,10019,-73.9907984,40.76345747
19702-2018-ENFO,9419371,B & Z STEEL EQUIPMENT CO. INC.,2018-04-05T00:00:00Z,Out of Business,Secondhand Dealer [General] - 006,Manhattan,78,GREENE ST,NA,NA,NA,NA,NEW YORK,NY,10012,-74.00080452,40.72325822
4204-2016-ENFO,50066053,D'OCOA GROCERY,2016-01-16T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,964,BELMONT AVE,NA,NA,NA,NA,BROOKLYN,NY,11208,-73.87299793,40.67392505
16993-2017-ENFO,70039436,MOCHA DELI AND GRILL CORP,2017-03-17T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,119,SAINT NICHOLAS AVE,NA,NA,NA,NA,BROOKLYN,NY,11237,-73.9181953,40.70550074
27519-2016-ENFO,9335325,NEW-HAMZA COLLISION INC,2016-04-22T00:00:00Z,No Violation Issued,Secondhand Dealer [General] - 006,Brooklyn,736,CONEY ISLAND AVE,NA,NA,NA,NA,BROOKLYN,NY,11218,-73.96888647,40.63960433
29257-2018-ENFO,40009536,A.S. & R PETROLEUM INC,2018-05-31T00:00:00Z,Pass,Gas Station-Retail - 815,Bronx,5914,RIVERDALE AVE,NA,NA,NA,NA,BRONX,NY,10471,-73.90394262,40.90740538
5108-2017-ENFO,50075706,"MAZUMDER, JAHANGIR A",2017-02-02T00:00:00Z,Out of Business,Cigarette Retail Dealer - 127,Manhattan,NA,AVENUE OF THE AMERICAS,WEST    3 STREET,NA,NA,N/E/C,NEW YORK,NY,10014,-74.00141078,40.7310643
27530-2018-ENFO,5424441,51ST STREET FOOD MARKET INC.,2018-05-23T00:00:00Z,Violation Issued,Grocery-Retail - 808,Manhattan,721,11TH AVE,NA,NA,NA,NA,NEW YORK,NY,10019,-73.99407589,40.76665805
9286-2016-ENFO,50066423,E S WHOLESOME FOODS OF BROOKLYN CORP.,2016-02-12T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,98,MONTGOMERY ST,NA,NA,NA,NA,BROOKLYN,NY,11225,-73.96122842,40.66660517
50839-2016-ENFO,9345655,ECONOMY REFRIGERATION & VENTILATION SUPPLY CORP.,2016-07-28T00:00:00Z,No Violation Issued,Misc Non-Food Retail - 817,Manhattan,226,BOWERY,NA,#,228,NA,NEW YORK,NY,10012,-73.99335471,40.72213543
75304-2016-ENFO,9358376,37-63 GROCERY FOOD CORP.,2016-11-22T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Queens,3763,88TH ST,NA,NA,NA,NA,JACKSON HEIGHTS,NY,11372,-73.87848847,40.74908264
23460-2017-ENFO,50076820,RITE AID OF NEW YORK INC.,2017-04-11T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Manhattan,2155,3RD AVE,NA,NA,NA,NA,NEW YORK,NY,10035,-73.93926736,40.79895596
165-2014-UNIT,9350809,TAXI TOURS INC,2016-08-02T00:00:00Z,Pass,Sightseeing Bus - 078,Manhattan,723,7TH AVE,NA,NA,NA,NA,NEW YORK,NY,10019,-73.98510191,40.74767459
