X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,DEVELOPMENT_CODE,PROJECT_NAME,SCATTERED_SITE_IND,PD_STATUS_TYPE_CODE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,TOTAL_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJOR,PCT_WELFARE_MAJOR,PCT_OTHER_MAJOR,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,TPCT_OWNSFD,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL
-76.899124,35.814438,210,NC087,Mid-East Regional Housing Authority,NC087000001,MID-EAST REGIONAL,Y,M,185,185,185,170,7,197,91.900002,167,98.23,8,14.97,2,336,265,568,11655,5793,16.56,36.94,23.57,10.83,12.1,19.76,0.6,73.65,22.47,91.62,68.26,0.6,40.12,79.64,38.32,35.04,72,27.08,4.19,48.5,17.37,29.94,2.99,88.62,88.02,0,0,0.6,13,95,100,101,20.36,47.31,32.34,31.74,45.9,22.62,64.78,37,Martin,117,970100,1,1035,N,N,Martin,117,91644,Jamesville,34320,Jamesville town,C1,,9999,,99999,,99999,,0,0,3701,1470,S,,101 Roanoke Ct Apt,,Jamesville,NC,27846,9775,,27846,1,4,27846977501,S,,Apt,,0,,,,,100% Overall probable correctness,35.814438,-76.899124,9,S,4,R,**  Centroid Lat/Long   **,37117,3734320,37117970100,3.7118E+11,546,135,15.77000046,15.47999954,99.40000153,9768,2022/01/06 20:00:29+00,1158261,1081672,2527529548,2527528535,Lynn@merha.org,2527529548,2527528535,Lynn@merha.org
-79.195282,34.679378,211,NC114,Pembroke Housing Authority,NC114000001,Dial Terrace/Maynor Manor,Y,M,243,243,243,241,2,243,99.18,241,100,4,15.35,2.7,658,232,614,10840,3970,27.97,34.32,16.1,8.47,13.14,32.78,0.83,64.32,24.35,92.53,76.35,2.49,62.66,85.06,63.07,24.02,89.19,15.65,8.3,60.17,16.18,15.35,0.83,92.95,11.2,80.5,0,1.24,6,69,92.12,38,24.9,21.58,53.53,7.47,78.54,43.07,45.52,37,Robeson,155,960502,3,3050,N,N,Robeson,155,92472,Pembroke,51080,Pembroke town,C1,,9999,,31300,"Lumberton, NC Micropolitan Statistical Area",99999,,0,1,3709,2184,Y,,202 Oxendine Rd,,Pembroke,NC,28372,7218,,28372,99,2,28372721899,H,,,,3,,N,A,,70% Overall probable correctness,34.679378,-79.195282,S,,R,U,** Street-Level Rooftop **,37155,3751080,37155960502,3.7156E+11,582,359,6.38000011,9.88000011,98.76000214,9528,2022/01/06 20:00:29+00,1776900,1674838,9105219711,9105218765,pembrokeha114@nc.rr.com,9105219711,9105218765,alowry@pembrokeha.com
-77.908053,34.246866,532,NC001,Housing Authority of the City of Wilmington,NC001000019,Creekwood South LIHTC,N,M,138,138,138,126,12,1003,91.300003,66,52.38,11,13.64,2.7,179,234,802,10231,3772,31.25,23.44,17.19,14.06,14.06,25.76,3.03,68.18,12.88,98.48,89.39,1.52,65.15,87.88,60.61,19.3,44.44,12.85,3.03,69.7,13.64,13.64,0,98.48,95.45,0,1.52,1.52,28,67,0,0,0,36.36,63.64,43.94,59.94,34.64,62.71,37,New Hanover,129,10300,4,4020,N,N,New Hanover,129,94044,Wilmington,74440,Wilmington city,C1,,9200,"Wilmington, NC MSA",48900,"Wilmington, NC Metropolitan Statistical Area",99999,,1,0,3707,3144,S,,705 Emory St,,Wilmington,NC,28405,2042,,28405,5,8,28405204205,S,,,,3,,,A,,70% Overall probable correctness,34.246866,-77.908053,S,,R,U,** Street-Level Rooftop **,37129,3774440,37129010300,3.7129E+11,746,103,5.03000021,10.60999966,100,9524,2022/01/06 20:00:29+00,1212424,1136224,9103417700,9103417760,vhamilton@wha.net,9103417700,9103417760,vhamilton@wha.net
-77.5422,35.2645,533,NC004,Housing Authority of the City of Kinston,NC004000001,SIMON BRIGHT,N,M,224,224,224,161,3,721,71.900002,157,97.48,6,10.19,2.1,322,211,632,9425,4595,37.58,32.48,12.1,8.92,8.92,22.29,1.91,75.8,18.76,93.63,81.53,0,49.04,78.98,43.95,27.21,71.43,18.63,17.2,49.04,20.38,13.38,0,98.09,96.18,0,0,1.91,6,80,0,0,29.94,44.59,25.48,17.2,96.69,35.54,65.69,37,Lenoir,107,10200,,,,,Lenoir,107,91704,Kinston,35920,Kinston city (part),C1,,9999,,28820,"Kinston, NC Micropolitan Statistical Area",99999,,0,1,3703,1542,,,,,Kinston,NC,28501,,,28501,,,,,,,S,,,,,S,Street not found,35.2645,-77.5422,5,S,T,R,**  Centroid Lat/Long   **,37107,3735920,37107010200,,572,151,7.13999987,13.35000038,96.81999969,9528,2022/01/06 20:00:29+00,1220942,1319129,2525231195,2525237984,kha@khanc.org,2525231195,2525237984,rabbott@khanc.org
-78.884192,35.986691,534,NC013,The Housing Authority of the City of Durham,NC013000033,Goley Pointe,N,M,14,14,14,14,0,1149,100,13,92.86,7,0,2.2,29,282,954,14215,6372,16.67,41.67,16.67,0,25,23.08,0,61.54,16.32,92.31,76.92,0,53.85,92.31,53.85,38.46,0,17.24,7.69,61.54,30.77,0,0,92.31,92.31,0,0,0,0,56,0,0,30.77,30.77,38.46,0,93.05,41.2,28.13,37,Durham,63,1100,2,2000,N,Y,Durham,63,90932,Durham,19000,Durham city (part),C1,,6640,"Raleigh-Durham-Chapel Hill, NC MSA",20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,,1,0,3704,828,Y,,110 N Goley St,,Durham,NC,27703,3204,,27703,10,1,27703320410,S,,,,2,,,,,80% Overall probable correctness,35.986691,-78.884192,S,,R,U,** Street-Level Rooftop **,37063,3719000,37063001100,3.7063E+11,892,12,0,17.23999977,92.30999756,9736,2022/01/06 20:00:29+00,160297,149893,9196831551,9196831237,ascott@dha-nc.org,9196831551,,ascott@dha-nc.org
-78.611469,35.72233,535,NC021,Housing Authority of the County of Wake,NC021000001,WAKE CO HA,Y,M,84,82,82,75,6,340,91.459999,75,100,5,8,2.2,164,279,853,11686,5344,6.67,36.67,23.33,6.67,26.67,16,1.33,62.67,12.22,98.67,90.67,0,37.33,86.67,36,25.49,66.67,23.17,2.67,45.33,20,32,2.67,93.33,92,0,0,1.33,45,137,100,106,25.33,46.67,28,22.67,42.47,10.99,81.59,37,Wake,183,52803,1,1003,N,N,Wake,183,92788,Saint Marys,25480,Garner town (part),C1,,6640,"Raleigh-Durham-Chapel Hill, NC MSA",39580,"Raleigh-Cary, NC Metropolitan Statistical Area",99999,,1,0,3702,1074,Y,,821 Delta St,,Garner,NC,27529,2860,,27529,99,1,27529286099,H,,,,1,,,A,,90% Overall probable correctness,35.72233,-78.611469,S,,R,U,** Street-Level Rooftop **,37183,3725480,37183052803,3.71831E+11,770,62,17.06999969,12.80000019,100,9761,2022/01/06 20:00:29+00,767550,720808,9192696404,9192692196,dfagan@hacwnc.org,9192696404,9192695020,dfagan@hacwnc.org
-79.780098,34.939515,536,NC025,Rockingham Housing Authority,NC025000001,HARRINGTON PLACE,N,M,226,223,223,212,9,223,95.07,209,98.58,6,11.48,2.3,489,226,585,10837,4632,29.23,31.28,17.44,7.69,14.36,23.44,1.44,68.42,23.9,91.39,74.64,0.96,53.59,81.34,50.24,19.53,57.5,13.7,9.57,53.59,18.66,18.18,0.48,89.47,85.65,1.91,0,1.91,7,78,100,78,32.54,31.58,35.89,10.53,52.37,29.97,65.19,37,Richmond,153,970500,2,2017,N,N,Richmond,153,92736,Rockingham,57260,Rockingham city (part),C1,,9999,,40460,"Rockingham, NC Micropolitan Statistical Area",99999,,0,1,3709,2394,Y,,600 Gore Dr,,Rockingham,NC,28379,3503,,28379,0,0,28379350300,S,,,,2,,,,,80% Overall probable correctness,34.939515,-79.780098,S,,R,U,** Street-Level Rooftop **,37153,3757260,37153970500,3.7154E+11,542,249,8.78999996,8.78999996,97.12999725,9528,2022/01/06 20:00:29+00,1489309,1404525,9109973316,9109976981,cbelton@rhanc.com,9109973316,9109976981,cbelton@rhanc.com
-79.17618,35.486844,537,NC035,Sanford Housing Authority,NC035000001,LINDEN HGTS/UTLEY PLAZA/FOUSHEE HGTS,Y,M,142,141,141,100,9,266,70.919998,99,99,8,8.08,2.4,233,210,795,9881,4199,43.3,20.62,16.49,6.19,13.4,20.2,3.03,74.75,16.2,89.9,79.8,2.02,63.64,88.89,58.59,19.54,50,12.45,7.07,55.56,25.25,12.12,0,85.86,80.81,1.01,0,4.04,22,106,100,40,17.17,65.66,17.17,5.05,73.41,27.21,68.53,37,Lee,105,30200,2,2002,N,N,Lee,105,93472,"Township 5, East Sanford",59280,Sanford city (part),C1,,9999,,41820,"Sanford, NC Micropolitan Statistical Area",99999,,0,1,3708,2520,S,,201 Linden Ave,,Sanford,NC,27330,3635,,27330,1,7,27330363501,S,,,,1,,,A,,90% Overall probable correctness,35.486844,-79.17618,S,,R,U,** Street-Level Rooftop **,37105,3759280,37105030200,3.7105E+11,697,103,6.01000023,9.86999989,98.98999786,6655,2022/01/06 20:00:29+00,954127,802418,9197767655,9197767657,,9197767655,9197767657,sjudd@sha-nc.org
-81.345612,35.241163,538,NC064,Kings Mountain Housing Authority,NC064000001,PROJECT UNNAMED,Y,M,250,249,249,243,6,249,97.589996,243,100,7,14.81,2,494,327,477,16858,8292,11.72,24.69,25.52,10.88,27.2,27.57,0,70.78,31.14,77.78,55.97,2.06,38.68,77.37,38.68,30.82,30.95,15.59,3.7,47.74,13.99,34.57,2.06,58.02,58.02,0,0,0,4,96,0,0,40.33,24.28,35.39,17.28,25.62,24,77.06,37,Cleveland,45,950400,2,2011,N,N,Cleveland,45,90686,Cleveland,35880,Kings Mountain city (part),C1,,9999,,43140,"Shelby, NC Micropolitan Statistical Area",99999,,0,1,3705,1536,S,,116 N City St,,Kings Mountain,NC,28086,2913,,28086,16,4,28086291316,S,,,,3,,,A,,70% Overall probable correctness,35.241163,-81.345612,S,,R,U,** Street-Level Rooftop **,37045,3735880,37045950400,3.7046E+11,456,202,18.62000084,10.31999969,91.76999664,12198,2022/01/06 20:00:29+00,1391686,1331014,7047392816,7047398551,,7047392816,7047398551,jimmy_maney@earthlink.net
-76.754478,35.865675,539,NC078,Plymouth Housing Authority,NC078000001,PLUMBLEE COURT,Y,M,190,190,190,184,4,190,96.839996,184,100,7,7.07,2.5,451,306,599,14380,5867,8.75,30,21.25,14.38,25.63,32.07,0.54,54.35,28.83,85.33,65.22,1.63,48.91,81.52,50.54,19.53,48.21,14.63,4.35,50,15.22,30.43,3.26,93.48,91.3,0,0,2.17,16,123,0,0,28.26,32.61,39.13,14.13,62.37,27.59,65.48,37,Washington,187,950200,3,3025,N,N,Washington,187,92540,Plymouth,53040,Plymouth town,C1,,9999,,99999,,99999,,0,0,3701,2256,S,,305A W Water St,,Plymouth,NC,27962,1214,,27962,5,1,27962121405,S,,,,1,,,A,,90% Overall probable correctness,35.865675,-76.754478,9,H,4,U,**  Centroid Lat/Long   **,37187,3753040,37187950200,3.7188E+11,565,221,13.52999973,8.19999981,95.65000153,10495,2022/01/06 20:00:29+00,1322814,1246904,2527933188,2527939691,annette_plymouthha@yahoo.com,2527933188,2527939691,annette_plymouthha@yahoo.com
